id,nombre,descripcion,precio
94,Advanced solution-oriented ability,Dicta ullam expedita nostrum aspernatur repellendus.,99.93539
95,Exclusive demand-driven product,Nemo blanditiis laborum vel voluptatibus animi libero.,46.50553
96,Enhanced even-keeled throughput,Odio pariatur quia cupiditate nisi.,19.604
97,Profit-focused dedicated service-desk,Sit incidunt quam voluptate quod voluptatibus.,56.13794
98,De-engineered tertiary framework,Officia eveniet reprehenderit impedit voluptate cupiditate neque ipsum.,67.96155
99,Managed bottom-line concept,Voluptatibus assumenda maxime repudiandae.,37.54532
100,Inverse 3rdgeneration hardware,Corrupti odio et odit.,60.89025
101,Networked dedicated monitoring,Quia quaerat dolorem suscipit repellendus perferendis.,70.61775
102,Ameliorated web-enabled artificial intelligence,Nihil labore nostrum aperiam nemo asperiores veritatis.,57.01136
103,Synchronized impactful superstructure,Provident veritatis ea alias ratione illum.,60.43378
104,Automated stable algorithm,Totam dignissimos voluptas sint voluptate ex.,67.67624
105,Virtual tertiary circuit,Eos deserunt adipisci dolorum soluta odit.,24.91277
106,Multi-layered executive software,Enim occaecati cum.,75.29904
107,Pre-emptive global portal,Quidem officia facilis sunt velit.,65.75935
108,Business-focused empowering database,Sunt ullam eligendi quod autem.,66.07711
109,Team-oriented intermediate parallelism,Reiciendis rerum quis soluta id porro.,94.87064
110,Open-architected zero tolerance interface,Explicabo esse quasi voluptas doloremque nemo quasi.,23.67673
111,Visionary web-enabled artificial intelligence,Facilis in voluptatem voluptatem eveniet maxime magnam accusantium.,15.21347
112,Open-source modular synergy,Praesentium nobis nemo natus ducimus inventore.,99.32866
113,Advanced interactive protocol,Neque harum nobis asperiores.,73.94276
114,De-engineered global hardware,Tenetur temporibus provident iste suscipit mollitia placeat.,83.77953
115,Devolved next generation knowledgebase,A sequi accusamus itaque.,99.23828
116,Quality-focused bi-directional budgetary management,Consequuntur rem sint in possimus.,39.30252
117,Configurable client-server leverage,Minima consequuntur unde sunt veritatis est ducimus.,40.9597
118,Adaptive directional product,Quo magni quos occaecati possimus possimus.,29.01871
119,Profit-focused client-server contingency,Minus dolorum rerum mollitia officia in libero.,95.56437
120,Seamless executive architecture,Inventore quis placeat repellat neque magni veritatis.,24.93543
121,Reduced national model,Expedita esse delectus tenetur.,65.25159
122,Balanced exuding core,Nulla officia fugiat nemo voluptates architecto tempora.,52.36621
123,Automated cohesive interface,Beatae placeat ad blanditiis similique nulla eum.,36.89328
124,User-friendly radical functionalities,Amet accusantium ducimus.,12.27548
125,Innovative analyzing open system,Voluptatem distinctio a ipsa harum optio exercitationem.,10.87421
126,Public-key multi-tasking hardware,Veniam eum suscipit deserunt laborum inventore quibusdam.,32.97806
127,Devolved global algorithm,Saepe dolorem commodi accusamus fugiat similique eaque.,32.48907
128,Object-based full-range knowledge user,Ad deleniti consectetur eveniet asperiores illum.,27.40448
129,Right-sized systemic structure,Id porro tempora reprehenderit.,79.2919
130,Triple-buffered systematic benchmark,Rerum harum eum quos repellendus officiis cum.,95.38376
131,Programmable mobile analyzer,Qui eligendi saepe ab magnam impedit consectetur.,52.67681
132,Multi-channeled coherent focus group,Repellendus iusto quo labore nobis id.,71.4117
133,Business-focused background knowledge user,Corrupti quo temporibus accusantium sequi.,40.97581
134,Re-contextualized impactful productivity,Illum dolores ex nesciunt.,93.72958
135,Face-to-face uniform throughput,Molestiae sequi repellat nemo eius eum eum velit.,60.06268
136,De-engineered systemic monitoring,Corrupti debitis numquam similique autem dolor.,88.72321
137,Ergonomic optimizing application,Nesciunt iure inventore maxime quidem sapiente nostrum facilis.,24.85224
138,Operative even-keeled Internet solution,Voluptatibus ut expedita incidunt possimus officia quae porro.,73.74348
139,Inverse disintermediate synergy,Deserunt tempore mollitia veritatis cum fuga.,11.19113
140,Integrated composite adapter,Porro expedita nemo a eveniet nobis.,11.90593
141,Upgradable explicit ability,Necessitatibus dicta tempora totam commodi ducimus vitae.,11.25214
142,Persistent background projection,Commodi commodi assumenda placeat veritatis repellendus.,86.0446
143,Cloned modular system engine,Cupiditate architecto sequi libero voluptas.,77.10639
144,Operative needs-based archive,Voluptates deleniti a consequatur quos.,97.26885
145,Persevering radical forecast,Corporis possimus omnis beatae porro aliquam consequatur.,60.41071
146,Sharable multimedia access,Tempora architecto adipisci nesciunt in.,85.40664
147,Ameliorated tertiary info-mediaries,Reiciendis excepturi labore modi.,33.74864
148,Front-line bi-directional data-warehouse,Atque doloremque quidem ratione dolorum fugit reiciendis.,37.80859
149,Extended leadingedge knowledgebase,Quam numquam illo quod impedit ipsum.,71.3337
150,Secured client-driven complexity,Vitae omnis unde rerum natus modi quas.,77.2615
151,Vision-oriented regional moratorium,Provident tempora modi id.,52.11638
152,Optimized 3rdgeneration leverage,Corrupti voluptas id ducimus exercitationem nulla.,77.90984
153,Triple-buffered transitional throughput,Et quia omnis libero quibusdam hic.,73.28014
154,Centralized client-server instruction set,Ut consequatur nemo et ipsum tenetur.,19.6267
155,Vision-oriented fresh-thinking Internet solution,Aperiam consectetur placeat dolorem.,44.27136
156,Operative object-oriented emulation,Porro architecto doloribus sapiente dolores molestias.,82.54122
157,Customer-focused high-level protocol,Enim voluptatibus iste maxime ex.,42.25401
158,Polarized mission-critical encryption,Nesciunt explicabo sequi occaecati vitae nemo culpa.,35.59901
159,Realigned neutral standardization,Dolores perferendis quidem natus.,78.47959
160,Triple-buffered cohesive forecast,Explicabo odio cum animi corrupti veritatis.,76.48552
161,Down-sized value-added structure,Quo delectus excepturi numquam doloremque.,63.73772
162,Programmable methodical service-desk,Modi nesciunt quasi ut.,29.17741
163,Object-based stable Graphic Interface,Quibusdam blanditiis reiciendis exercitationem cum modi.,52.42343
164,Ergonomic bottom-line monitoring,Suscipit inventore officiis ratione doloribus sequi vel mollitia.,39.10387
165,Fully-configurable value-added adapter,Laboriosam voluptatem eveniet porro autem vero facere.,77.08572
166,Synchronized multimedia project,Ullam autem commodi odio nihil incidunt.,39.00885
167,Quality-focused high-level matrix,Veritatis sapiente debitis aperiam aliquam iusto.,51.49357
168,Extended fresh-thinking support,Ullam fugit eveniet.,29.57169
169,Virtual leadingedge leverage,Temporibus iusto hic error sunt.,82.94577
170,Open-architected radical help-desk,Nesciunt harum tempore nihil.,62.52308
171,Mandatory non-volatile installation,Id esse animi libero dolores quos.,87.07491
172,Re-contextualized hybrid groupware,Minima sit nulla dolorum.,16.44473
173,Team-oriented modular leverage,Dolorum rerum laudantium ipsum officiis.,61.81262
174,Versatile optimizing service-desk,Quasi commodi consequatur optio.,76.46252
175,Customer-focused full-range superstructure,Minus consequatur fugiat alias tempore mollitia.,42.61155
176,Self-enabling maximized knowledge user,Nulla unde minus repudiandae incidunt.,19.19017
177,Quality-focused motivating infrastructure,Ut assumenda mollitia eius culpa officia ducimus laudantium.,18.39511
178,Implemented 3rdgeneration capability,Adipisci autem ratione nobis praesentium assumenda.,26.02433
179,Networked intangible data-warehouse,Explicabo voluptas magnam quos explicabo similique.,23.08627
180,Reduced empowering superstructure,Officia eum facilis praesentium maxime incidunt placeat.,32.52513
181,User-friendly actuating concept,Itaque deserunt voluptatem corporis iure voluptatum.,49.15413
182,Exclusive zero administration budgetary management,Quae animi iure culpa aliquid soluta.,15.86604
183,Horizontal local focus group,Doloremque ullam ipsum recusandae nisi quo facilis.,74.39262
184,Switchable didactic task-force,Fuga perspiciatis vero quisquam numquam.,53.36782
185,Synchronized national model,Velit maiores error.,28.83368
186,Mandatory bifurcated application,Eum sequi occaecati.,97.33882
187,Right-sized impactful artificial intelligence,Non tenetur architecto architecto odit provident.,50.51539
188,Mandatory motivating capability,Hic odit itaque magnam ea.,30.5679
189,Self-enabling foreground projection,Fugiat totam fugit odio illum dolor exercitationem.,91.55964
190,Virtual clear-thinking neural-net,Incidunt a a eaque aperiam omnis nobis.,76.18279
191,Multi-channeled global pricing structure,Quibusdam aliquam deserunt amet.,97.41113
192,Fundamental well-modulated moderator,Dolore harum nemo dolore dignissimos quidem quaerat.,63.4182
193,Optimized bi-directional Internet solution,Alias ad sed laboriosam.,38.2881
194,Focused regional synergy,Rem suscipit omnis veniam fugit.,19.03469
195,Multi-layered discrete info-mediaries,Soluta reprehenderit similique aliquam vero.,23.95149
196,Networked maximized alliance,Quae culpa numquam excepturi architecto tenetur.,68.3358
197,Reverse-engineered well-modulated paradigm,Provident culpa ipsum debitis.,77.87631
198,Devolved client-driven attitude,Molestiae cupiditate accusamus temporibus corrupti.,49.72003
199,Cross-platform scalable forecast,Commodi omnis ipsam a.,91.97902
200,Switchable 5thgeneration collaboration,Incidunt error facilis expedita tenetur deleniti.,22.32156
201,Devolved incremental open architecture,Omnis odio voluptates assumenda quod.,69.57095
202,Operative high-level product,Impedit tenetur atque voluptate soluta optio consectetur.,95.78132
203,Expanded interactive paradigm,Sed eaque ea atque.,82.16386
204,Reverse-engineered incremental benchmark,Voluptatem magnam vel optio quod aliquid explicabo dolor.,75.62886
205,Versatile coherent application,Nesciunt quibusdam ipsam officiis doloremque iure mollitia.,30.02906
206,Self-enabling directional instruction set,Aliquam pariatur voluptatum occaecati rerum.,83.78955
207,Secured upward-trending benchmark,Eius dolor quos vero similique.,36.06114
208,Exclusive background website,Hic facilis enim asperiores.,25.7355
209,Open-architected context-sensitive knowledge user,Odio dolor facere molestiae.,44.17949
210,Streamlined object-oriented attitude,Exercitationem iusto ad consequatur commodi dolor nam.,11.48869
211,Automated client-server Local Area Network,Fuga aliquid dolore dignissimos nostrum.,10.69265
212,Configurable motivating throughput,Incidunt illo vel nulla quae.,86.37231
213,Monitored executive alliance,Nobis similique dolore dolores aliquid placeat distinctio.,64.36971
214,Function-based disintermediate definition,Provident nulla voluptates.,47.1922
215,Grass-roots needs-based methodology,Quos quaerat accusamus facere cumque.,41.39212
216,Managed multi-state firmware,Id ea reprehenderit veniam error voluptate.,38.59193
217,Switchable upward-trending archive,Dolores iure voluptatum ipsam minus fugiat laboriosam exercitationem.,95.41919
218,Enhanced heuristic protocol,Doloremque ratione non.,99.8894
219,Progressive analyzing policy,Numquam excepturi voluptates totam quaerat nostrum sit.,21.19005
220,Advanced composite forecast,Id maiores facilis optio placeat saepe aliquam.,51.83213
221,Optimized 24/7 structure,Quam recusandae ab fugit nostrum.,92.72121
222,Open-source 5thgeneration complexity,At voluptas molestiae.,25.51699
223,Persevering content-based service-desk,Aperiam provident molestiae numquam impedit ad eum.,70.49082
224,Devolved content-based software,Unde nostrum distinctio.,85.53755
225,Reverse-engineered cohesive ability,Rem pariatur ratione eligendi nesciunt molestiae nesciunt.,41.50693
226,Phased dedicated Graphic Interface,Expedita fugiat distinctio similique in ipsa repudiandae.,32.80974
227,Future-proofed regional help-desk,Esse pariatur molestiae placeat architecto adipisci.,71.49708
228,Customer-focused foreground definition,Temporibus quo fugit expedita itaque adipisci.,71.28749
229,Fundamental encompassing monitoring,Nemo repellat corporis.,69.61859
230,Digitized asymmetric approach,Dicta in alias.,43.14818
231,Function-based background website,Autem dicta velit quam laudantium eius.,96.36232
232,Cloned directional throughput,Cupiditate officiis ducimus temporibus consectetur ex.,75.89609
233,Stand-alone web-enabled instruction set,Ullam dolores porro dolorum esse.,97.44603
234,Open-source stable data-warehouse,Ipsa libero distinctio nobis.,13.03589
235,Cross-platform maximized capability,Nisi culpa tenetur.,66.18101
236,Team-oriented radical frame,Quos provident facilis molestias asperiores.,81.14389
237,Grass-roots grid-enabled process improvement,Consequatur quo consequuntur odit.,11.84167
238,Advanced bifurcated conglomeration,Totam rerum veniam veniam cupiditate ab.,82.24589
239,Fully-configurable national throughput,Perspiciatis numquam quisquam placeat velit.,39.45081
240,Re-engineered analyzing complexity,Provident voluptates blanditiis quidem beatae.,13.07571
241,Multi-channeled client-server knowledge user,Dicta repellendus eveniet delectus sequi atque sint.,83.9226
242,Profound hybrid conglomeration,Mollitia optio incidunt unde sunt nulla itaque.,29.03144
243,Future-proofed object-oriented firmware,Laboriosam odio aliquam reprehenderit corporis a.,80.09485
244,Multi-lateral human-resource algorithm,Quod facere veniam sapiente excepturi.,33.56565
245,Triple-buffered 24hour moratorium,Praesentium magni ipsa soluta possimus optio.,82.39817
246,Organic bifurcated alliance,Consequuntur aspernatur rerum.,43.28818
247,Managed bifurcated project,Voluptas numquam tempora repudiandae distinctio.,59.71276
248,Automated methodical success,Laborum dicta quod eligendi.,84.05392
249,Multi-layered neutral forecast,Doloribus totam odio voluptates.,88.58356
250,Team-oriented radical open system,Harum officiis omnis quae placeat dolorum.,70.4748
251,Public-key coherent time-frame,Quo iusto nulla exercitationem saepe.,91.29413
252,Fully-configurable client-driven success,Adipisci quasi a quod.,54.68515
253,Re-contextualized exuding leverage,Architecto nisi eligendi nesciunt ab officiis.,77.90517
254,Horizontal optimizing support,Sint distinctio excepturi consequuntur dolor nemo vitae.,30.90416
255,Organic user-facing project,Quam iure quia veritatis omnis facere.,17.58214
256,Customizable encompassing implementation,Sunt harum ipsa libero porro explicabo.,79.10882
257,Networked 24hour service-desk,Quam culpa minima odio.,94.73046
258,Self-enabling empowering Graphic Interface,Aliquid eligendi architecto ipsa maiores.,13.16444
259,Integrated disintermediate function,Totam repudiandae provident vel cum.,79.39744
260,Sharable grid-enabled methodology,Qui tenetur repudiandae saepe magni dicta laudantium.,61.6549
261,Cross-platform context-sensitive intranet,Porro repellat aspernatur sed hic repudiandae et excepturi.,43.74185
262,Organized context-sensitive help-desk,Modi deleniti quasi nemo non.,24.3601
263,Versatile client-server project,Deleniti corporis adipisci nisi.,40.02579
264,Centralized multi-state Graphic Interface,Fugiat rem harum incidunt repudiandae.,52.25462
265,Decentralized human-resource attitude,Reprehenderit aliquid doloribus quaerat at reprehenderit nesciunt.,33.95967
266,Adaptive exuding standardization,Assumenda aperiam pariatur cupiditate doloremque aperiam earum expedita.,32.69166
267,Synchronized systemic utilization,Ut itaque voluptas numquam ratione velit aliquam.,56.56215
268,Integrated non-volatile intranet,Iure eius perspiciatis rem temporibus iste ipsum.,22.00339
269,Grass-roots eco-centric functionalities,Sapiente perspiciatis autem.,61.46446
270,Polarized impactful infrastructure,Beatae deleniti ullam impedit.,28.50999
271,Operative logistical functionalities,Tenetur temporibus sed vitae fugit voluptatem.,57.09604
272,Customer-focused asynchronous extranet,Officiis debitis dolore exercitationem pariatur.,29.01711
273,Enterprise-wide human-resource task-force,Debitis maxime iure dolorem.,21.82372
274,Intuitive static collaboration,Aspernatur fugit possimus eum.,81.56485
275,Up-sized national database,Fugit sit rem earum consequatur porro eius natus.,36.44574
276,Proactive heuristic moratorium,Est consequuntur veritatis ad.,30.67728
277,Triple-buffered real-time instruction set,Nesciunt esse nisi voluptas dolorum repellat numquam.,53.57357
278,Ameliorated needs-based methodology,Quia a quaerat quos et repudiandae.,67.89029
279,Optional next generation throughput,Error corrupti blanditiis amet officiis.,62.57955
280,Seamless zero tolerance capacity,Rerum excepturi aliquam iste.,48.37103
281,Grass-roots empowering budgetary management,Alias mollitia repellat qui libero fugit perferendis.,29.30871
282,Decentralized background benchmark,Excepturi laborum laboriosam officia ratione a.,11.93113
283,Object-based actuating portal,Neque consequatur aliquid minus autem ipsum.,63.49998
284,Horizontal executive approach,Consequatur veniam beatae nihil.,19.62204
285,Profit-focused 4thgeneration matrices,Numquam harum assumenda consectetur soluta eius officiis minima.,90.3333
286,Universal local migration,Commodi vitae porro itaque.,67.19971
287,Up-sized 4thgeneration workforce,Reiciendis molestiae alias voluptates natus nesciunt.,60.01006
288,Distributed leadingedge function,Labore tenetur maiores neque saepe eius.,78.64295
289,Public-key 24hour budgetary management,Odio explicabo architecto harum quis dolorem.,48.11941
290,Extended directional extranet,Amet ex mollitia nesciunt ratione.,69.76865
291,Reactive zero-defect methodology,Non dolor possimus soluta molestias delectus nemo.,78.0071
292,Universal content-based leverage,Debitis labore architecto animi.,99.1175
293,User-friendly composite open system,Quos perferendis repellat sequi iusto doloribus sint.,51.44958
294,Programmable leadingedge circuit,Iste iste minima eum dolores perspiciatis.,73.20014
295,Diverse multi-tasking installation,Perspiciatis animi quidem quis inventore beatae soluta aperiam.,18.49763
296,Stand-alone bandwidth-monitored algorithm,Sed eos dolores esse consequatur.,67.5576
297,Progressive dynamic standardization,Ut eaque nemo harum porro fugit impedit.,33.03984
298,Front-line system-worthy support,Incidunt beatae quas tempora quod.,89.47799
299,Automated mobile support,Tenetur excepturi nesciunt magnam quia.,41.86201
300,Team-oriented 24/7 capability,Quaerat aut sunt.,18.75253
301,Customer-focused needs-based application,Necessitatibus fugiat error reiciendis nulla sequi.,20.20782
302,Multi-layered systematic benchmark,Odio sint quis eos itaque necessitatibus eligendi.,10.75527
303,Configurable incremental hardware,Quasi unde est ex.,80.28943
304,Focused impactful secured line,Rerum laborum unde culpa consectetur.,92.03052
305,Focused user-facing toolset,Fugit quos quo suscipit.,51.96623
306,Programmable attitude-oriented matrix,Distinctio sunt nostrum eum perferendis facilis unde.,98.84453
307,Innovative systemic Internet solution,Fugit nostrum quod corrupti dignissimos unde quisquam.,10.82184
308,Assimilated motivating firmware,Dolores optio reiciendis ullam aliquid.,19.31522
309,Seamless human-resource success,Voluptate ab asperiores ullam.,96.37341
310,Organic coherent migration,Sit adipisci consequatur tempore.,47.01319
311,User-friendly zero tolerance attitude,Aliquam explicabo quas facere unde repudiandae.,54.94673
312,Right-sized directional collaboration,Voluptates modi reprehenderit labore.,39.11528
313,Business-focused optimizing budgetary management,Iure doloribus porro consequuntur commodi ut corporis.,10.65824
314,Ameliorated bifurcated methodology,Eligendi numquam perferendis provident culpa cum dolorem.,92.18488
315,Ameliorated human-resource strategy,Nostrum dolorem non iusto pariatur repellendus.,29.17161
316,Reduced client-server Local Area Network,Eaque et voluptatem cumque odio saepe nisi.,80.82733
317,Multi-layered fresh-thinking implementation,Nobis magnam velit voluptatum ipsam.,91.17662
318,Multi-tiered executive monitoring,Nihil corporis sapiente omnis deserunt expedita.,31.22611
319,Open-source web-enabled strategy,Voluptatem dolore vero aut deserunt molestias.,15.59565
320,Networked regional toolset,Consectetur necessitatibus aut nobis.,48.00188
321,Automated stable conglomeration,Veritatis aliquam eligendi illum dolores officia voluptate.,17.7747
322,Multi-lateral static initiative,Adipisci quo pariatur in.,67.97021
323,Diverse clear-thinking methodology,Nesciunt error facilis distinctio ipsum.,69.49124
324,Automated dynamic conglomeration,Neque molestiae vel corporis voluptatum sit voluptates.,50.20401
325,Programmable regional product,Quo sunt accusamus voluptate.,53.89971
326,Multi-tiered 3rdgeneration parallelism,Ut corrupti eveniet architecto sequi doloribus nostrum.,12.09871
327,Sharable actuating function,Minus fuga minus est voluptatem.,20.42268
328,Reduced maximized time-frame,Excepturi aut sequi consequatur iure dolore natus.,26.40221
329,Customer-focused zero-defect circuit,Animi officia assumenda reprehenderit.,59.34566
330,Face-to-face homogeneous emulation,Ea atque fuga.,20.73738
331,Pre-emptive cohesive instruction set,Facere vel cum repellendus voluptatem.,52.38089
332,Visionary holistic solution,Vitae molestiae natus a.,79.10092
333,Distributed intangible collaboration,Nulla eligendi dolorem.,52.73654
334,Sharable bi-directional hardware,Illo alias eum iure.,30.65129
335,Enterprise-wide client-driven benchmark,Adipisci mollitia repellat reprehenderit.,79.03747
336,Synergistic hybrid function,Earum molestiae earum incidunt doloremque quasi officia neque.,92.15969
337,Versatile non-volatile software,Dignissimos voluptates quam repellat voluptatum atque reprehenderit.,49.10962
338,Upgradable asymmetric definition,Nobis illo unde alias.,69.44775
339,Organic client-server artificial intelligence,Dolore perspiciatis expedita nam reprehenderit quo quia.,32.90869
340,Inverse regional service-desk,Sequi corrupti mollitia odit voluptatem sunt vitae.,87.67515
341,Ameliorated responsive software,Dolores eveniet repudiandae animi fugit maxime qui.,51.847
342,Devolved explicit time-frame,Occaecati occaecati repellat assumenda excepturi id.,39.23015
343,Re-contextualized directional groupware,Quidem pariatur pariatur quibusdam adipisci eveniet consequuntur.,99.22774
344,Reverse-engineered dedicated utilization,Temporibus earum exercitationem illum fugiat.,65.80548
345,Synergistic global service-desk,Exercitationem deserunt sunt sequi aspernatur ab inventore tenetur.,74.73724
346,Universal 5thgeneration database,Cupiditate tenetur dolorem perferendis consequatur.,92.68051
347,Cross-platform local utilization,Asperiores beatae consequuntur a impedit facere.,59.87489
